Year,Month,Carrier,Arr Flights,Arr Del15,Carrier Ct,Weather Ct,Nas Ct,Security Ct,Late Aircraft Ct,Arr Cancelled,Arr Diverted,Carrier Delay,Weather Delay,Nas Delay,Security Delay,Late Aircraft Delay,Total Delay,Cancellation Rate,Actual Delay,Predicted Delay,Airport Name,IATA Code
2025,1,16,217.0,45.0,10.15,0.0,24.3,0.0,10.56,2.0,2.0,578.0,0.0,848.0,0.0,481.0,1907.0,0.0092165898617511,1907.0,2604.885,"Charlotte, NC: Charlotte Douglas International",CLT
2025,1,16,31.0,5.0,1.23,0.0,1.43,0.0,2.34,3.0,0.0,35.0,0.0,41.0,0.0,61.0,137.0,0.0967741935483871,137.0,250.515,"Savannah, GA: Savannah/Hilton Head International",SAV
2025,1,19,121.0,15.0,5.49,1.03,6.59,0.0,1.89,5.0,1.0,277.0,35.0,263.0,0.0,119.0,694.0,0.0413223140495867,694.0,861.625,"Providence, RI: Rhode Island Tf Green International",
2025,1,3,20.0,10.0,3.38,0.0,6.47,0.0,0.15,1.0,0.0,240.0,0.0,300.0,0.0,6.0,546.0,0.05,546.0,710.51,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",DFW
2025,1,19,6.0,1.0,0.07,0.0,0.93,0.0,0.0,1.0,0.0,5.0,0.0,68.0,0.0,0.0,73.0,0.1666666666666666,73.0,119.135,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",
2025,1,17,97.0,16.0,10.35,0.79,2.79,0.0,2.07,1.0,0.0,497.0,155.0,254.0,0.0,194.0,1100.0,0.0103092783505154,1100.0,1106.205,"Portland, ME: Portland International Jetport",
2025,1,13,127.0,41.0,16.12,3.54,7.5,0.0,13.83,2.0,0.0,766.0,931.0,497.0,0.0,1113.0,3307.0,0.0157480314960629,3307.0,2952.17,"Lubbock, TX: Lubbock Preston Smith International",
2025,1,1,485.0,90.0,44.71,0.43,16.79,0.0,28.07,28.0,0.0,2487.0,36.0,828.0,0.0,2665.0,6016.0,0.0577319587628866,6016.0,6106.01,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATL
2025,1,10,25.0,7.0,1.76,0.37,3.6,0.0,1.27,1.0,0.0,65.0,29.0,113.0,0.0,35.0,242.0,0.04,242.0,342.08,"Missoula, MT: Missoula Montana",
2025,1,2,146.0,38.0,11.64,0.0,11.19,0.58,14.6,0.0,0.0,754.0,0.0,329.0,11.0,630.0,1724.0,0.0,1724.0,2373.805,"Chicago, IL: Chicago O'Hare International",ORD
2025,1,10,111.0,15.0,5.05,1.15,6.7,0.0,2.1,4.0,0.0,271.0,25.0,283.0,0.0,109.0,688.0,0.036036036036036,688.0,824.285,"Jacksonville, FL: Jacksonville International",JAX
2025,1,1,419.0,70.0,32.26,5.7,11.01,0.0,21.03,40.0,1.0,2883.0,926.0,477.0,0.0,2828.0,7114.0,0.0954653937947494,7114.0,6208.765,"St. Louis, MO: St Louis Lambert International",
2025,1,14,47.0,8.0,0.04,0.43,3.1,0.0,4.43,0.0,0.0,2.0,94.0,255.0,0.0,408.0,759.0,0.0,759.0,739.885,"Norfolk, VA: Norfolk International",
2025,1,7,209.0,52.0,9.46,1.03,10.16,1.08,30.26,5.0,1.0,651.0,225.0,473.0,53.0,2401.0,3803.0,0.0239234449760765,3803.0,3581.84,"Asheville, NC: Asheville Regional",
2025,1,3,48.0,11.0,4.82,0.56,3.88,0.0,1.75,2.0,1.0,290.0,15.0,144.0,0.0,171.0,620.0,0.0416666666666666,620.0,748.84,"Nashville, TN: Nashville International",
2025,1,17,520.0,85.0,35.02,0.86,17.46,0.34,31.31,0.0,1.0,1731.0,32.0,734.0,12.0,1842.0,4351.0,0.0,4351.0,4321.8,"Seattle, WA: Seattle/Tacoma International",SEA
2025,1,6,627.0,188.0,38.25,5.09,61.58,0.0,83.08,46.0,2.0,3999.0,554.0,3352.0,0.0,7024.0,14929.0,0.0733652312599681,14929.0,14100.35,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",DFW
2025,1,5,757.0,170.0,49.13,8.11,70.58,0.0,42.18,37.0,6.0,3176.0,1158.0,3148.0,0.0,2604.0,10086.0,0.0488771466314399,10086.0,10146.585,"Washington, DC: Ronald Reagan Washington National",DCA
2025,1,5,91.0,12.0,6.89,0.81,0.74,0.0,3.56,4.0,0.0,442.0,78.0,125.0,0.0,171.0,816.0,0.0439560439560439,816.0,909.155,"Des Moines, IA: Des Moines International",
2025,1,4,98.0,10.0,5.84,0.0,1.29,0.0,2.87,7.0,0.0,311.0,0.0,132.0,0.0,182.0,625.0,0.0714285714285714,625.0,745.85,"Lafayette, LA: Lafayette Regional Paul Fournet Field",
2025,1,13,2285.0,588.0,343.77,159.71,74.57,0.52,9.43,23.0,2.0,39622.0,12132.0,4089.0,67.0,2032.0,57942.0,0.0100656455142231,57942.0,48134.435,"Detroit, MI: Detroit Metro Wayne County",DTW
2025,1,7,9.0,1.0,0.35,0.0,0.65,0.0,0.0,0.0,0.0,15.0,0.0,28.0,0.0,0.0,43.0,0.0,43.0,216.22,"San Diego, CA: San Diego International",SAN
2025,1,14,161.0,25.0,5.33,2.1,5.93,0.0,11.63,3.0,0.0,283.0,81.0,245.0,0.0,786.0,1395.0,0.0186335403726708,1395.0,1404.01,"Bristol/Johnson City/Kingsport, TN: Tri Cities",
2025,1,10,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.085,"Monterey, CA: Monterey Regional",
2025,1,7,10.0,1.0,0.0,0.0,0.03,0.0,0.97,0.0,0.0,0.0,0.0,2.0,0.0,62.0,64.0,0.0,64.0,123.82,"Oakland, CA: Metro Oakland International",
2025,1,17,743.0,117.0,26.92,2.18,28.47,2.06,57.36,12.0,0.0,1330.0,326.0,1016.0,61.0,3296.0,6029.0,0.0161507402422611,6029.0,6422.54,"Pittsburgh, PA: Pittsburgh International",
